role,generation,mean_fitness,size,optimal_genotype,interaction_values
prey,150,0.7612889911355317,4251,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,151,0.760773074981002,4224,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,152,0.7600515858199012,4293,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,153,0.7587565421340282,4253,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,154,0.7587672222628888,4178,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,155,0.7596828091640015,4065,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,156,0.7600102890763439,4149,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,157,0.761051497221677,4169,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,158,0.7617553010588998,4241,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,159,0.7617204971575996,4280,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,160,0.7612686389791794,4269,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,161,0.7618275948770794,4299,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,162,0.7613211720529761,4224,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,163,0.7628179600982076,4230,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,164,0.7643122093241228,4206,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,165,0.7632175590690976,4358,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,166,0.7618611125305281,4193,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,167,0.7626144981106683,4307,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,168,0.7586190957391967,4351,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,169,0.7570434977386333,4283,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,170,0.7579475060202577,4348,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,171,0.7564081204940152,4291,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,172,0.7555124218307755,4119,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,173,0.7581134401561207,4094,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,174,0.7577531973289444,4052,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,175,0.7572308219719918,4066,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,176,0.7589624463859812,4177,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,177,0.7585191216230827,4043,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,178,0.7602088995902345,4130,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,179,0.761170398854343,4141,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,180,0.7601560941685958,4207,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,181,0.7593411966351162,4160,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,182,0.7577762477011943,4187,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
prey,183,0.7571141271418872,3999,[1. 1. 1. 1. 1.],"(0.0, 0.0)"
